Brand,Product_Name,Processor,GPU,RAM,Storage,Display_Resolution,Refresh_Rate,Price,RAM_GB,Storage_GB,Refresh_Hz,CPU_Score,GPU_Score,Resolution_Score,Performance_Score
Lenovo,LOQ 15ARP9,AMD Ryzen 7 7435HS,Nvidia GeForce RTX 4060 8GB,1x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,47777,12,512,144,8,8.0,3,66.38
Dell,G15 5530,Intel Core I5-13450HX,Nvidia GeForce RTX 3050 6GB,"16GB, 1x16GB, DDR5, 4800MT/s","512GB, M.2, PCIe NVMe, SSD",1920 x 1080,120 Hz,37777,16,512,120,6,6.0,3,52.5
Lenovo,Legion Pro 5 16IRX10,Intel Core i7-14650HX,Nvidia GeForce RTX 5050 8GB,1x 16GB SO-DIMM DDR5-5600,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560x1600,240 HZ,66666,16,512,240,8,8.0,4,70.0
HP,Victus 15-fa1034nia,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 2050,8 GB DDR4-3200 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,30999,8,512,144,6,5.0,3,48.25
HP,Victus 15-fa1033nia,Intel® Core™ i5-13420H,NVIDIA® GeForce RTX™ 2050,8 GB DDR4-3200 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,31899,8,512,144,6,5.0,3,48.25
Lenovo,Legion 5 15IRX10,Intel® Core i9-14900HX,Nvidia GeForce RTX 5070 8GB,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,2560 x 1600,165 HZ,113000,32,1024,165,10,9.0,4,83.94
ASUS,ROG Strix G16 ​G614FM-RV169W,AMD Ryzen 9 9955HX,Nvidia GeForce RTX 5060 8GB,16GB DDR5,1TB PCIe 4.0 NVMe SSD,1920 x 1200,165 HZ,92999,16,1024,165,10,8.5,3,78.69
ASUS,TUF Gaming F16 FX607VJ-RL805W,Intel Core 5 210H,Nvidia GeForce RTX 3050,8GB DDR4,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,144 Hz,36666,8,512,144,6,6.0,3,51.75
ASUS,ROG Strix SCAR 18 G835LR-AI3201W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070 Ti 12GB,16GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 Performance SSD,2560 x 1600,240 HZ,164888,16,1024,240,10,9.0,4,83.0
ASUS,ROG Strix G16 G615LR-VG132W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5070Ti 12GB,32GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,135000,32,1024,165,10,9.0,3,82.94
ASUS,ROG Strix G16 G614JVR-N3044W,Intel Core I9-14900HX,Nvidia GeForce RTX 4060 8GB,16GB Ram,1TB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,165 HZ,85399,16,1024,165,10,8.0,3,76.94
MSI,Sword 16 HX B14VFKG,Intel Core i9-14900HX,Nvida GeForce RTX 4060 8GB,16GB DDR5 8GB*2,1TB NVMe PCIe SSD Gen4x4,1920 x 1080,144 Hz,69999,16,1024,144,10,8.0,3,76.5
Lenovo,LOQ 15IAX9,Intel Core I5-12450HX,Nvidia GeForce RTX 2050 4GB,1x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,30777,12,512,144,6,5.0,3,48.88
ASUS,ROG Zephyrus G16 GU605MI-G16.U94070,Intel Core Ultra 9 185H,Nvidia Geforce RTX 4070,16GB RAM,1TB SSD,2560 x 1600,240 HZ,108000,16,1024,240,10,8.5,4,81.25
MSI,Stealth 16 AI Studio A1VGG,Intel Core Ultra 9 185H,Nvidia GeForce RTX 4070 8GB,32GB Ram DDR5-5600,1 TB NVMe PCIe Gen4 SSD,2560x1600,240 HZ,104999,32,1024,240,10,8.5,4,83.75
MSI,Vector 16 HX AI A2XWIG,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5080 16GB,16GB DDR5-6400,1TB SSD,2560x1600,240 HZ,151999,16,1024,240,10,9.5,4,84.75
HP,Omen 16-AE0075CL,Intel Core i7-14700HX,Nvidia GeForce RTX 4070 8GB,16 GB DDR5-5600 MT/s (2 x 8 GB),1 TB PCIe® NVMe™ M.2 SSD,1920 x 1080,144 Hz,82399,16,1024,144,8,8.5,3,71.25
MSI,Vector 16 HX A14VIG,Intel Core I9-14900HX,Nvidia GeForce RTX 4090 16GB,32GB Ram,1TB M.2 SSD,2560x1600,240 HZ,179888,32,1024,240,10,9.5,4,87.25
MSI,Vector 16 HX AI A2XWHG,Intel Core Ultra 9 275HX,GeForce RTX™ 5070 Ti,32GB 2 x 16 Up to DDR5-6400,1TB NVMe PCIe SSD Gen4x4 w/o DRAM,2560x1600,240 HZ,129999,32,1024,240,10,9.0,4,85.5
MSI,Vector 16 HX AI A2XWIG,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5080,32GB 2 x 16 DDR5-6400,1TB NVMe PCIe SSD Gen4x4 w/o DRAM,2560x1600,240 HZ,169999,32,1024,240,10,9.5,4,87.25
MSI,Titan 18 HX AI A2XWJG,Intel Core Ultra 9 285HX,Nvidia GeForce RTX™ 5090,64GB DDR5 6400MHz 32GB*2,4TB SSD - 2TB NVMe PCIe Gen5x4 SSD + 2TB NVMe PCIe Gen4x4 SSD,3840x2400,120 Hz,299999,64,8192,120,10,10.0,5,97.5
Lenovo,LOQ 15IRX9,Intel® Core™ i5-13450HX,NVIDIA® GeForce RTX™ 3050,2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,36666,12,512,144,6,6.0,3,52.38
ASUS,ROG Strix SCAR 16 G635LW-AI264W,Intel Core Ultra 9 275HX,Nvidia GeForce RTX 5080,64GB DDR5-5600 SO-DIMM,2TB PCIe® 4.0 NVMe™ M.2 Performance SSD,2560 x 1600,240 HZ,193999,64,2048,240,10,9.5,4,97.25
ASUS,ROG Strix SCAR 16 G635LR-AI321W,​Intel Core Ultra 9 275HX,NVIDIA® GeForce RTX™ 5070 Ti,32GB DDR5-5600 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 Performance SSD,2560 x 1600,240 HZ,155000,32,1024,240,10,9.0,4,85.5
ASUS,ROG Zephyrus G16 GU605CR-QR232W,Intel Core Ultra 9 285H,Nvidia GeForce RTX 5070,32GB LPDDR5X 7467,2TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,240 HZ,147777,32,2048,240,10,9.0,4,90.5
HP,Omen Max AH0097,Intel® Core™ Ultra 9 275HX,Nvidia GeForce RTX 5080,32 GB DDR5-5600 MT/s (2 x 16 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,2560 x 1600,240 HZ,200000,32,1024,240,10,9.5,4,87.25
HP,Victus 16-R0026NIA,Intel Core i5-13500H,Nvidia GeForce RTX 4050 6GB,16 GB DDR5-5200 MT/s (2 x 8 GB),512GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,41199,16,512,144,6,7.0,3,56.5
Lenovo,LOQ 15IRX9,Intel Core i7-14700HX,Nvidia GeForce RTX 4060 8GB,16GB 2x 8GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 X 1080,144 Hz,58699,16,1024,144,8,8.0,3,69.5
ASUS,TUF Gaming F16 FX607VU-RL805W,Intel Core 5 210H,Nvidia GeForce RTX 4050 6GB,8GB DDR5-5600 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,1920 x 1200,144 Hz,39999,8,512,144,6,7.0,3,55.25
ASUS,Vivobook 16X K3605ZF-RP005W,Intel Core I5-12500H,Nvidia GeForce RTX 2050 4GB,8GB DDR4 on board,512GB M.2 NVMe™ PCIe® 4.0 SSD,1920 x 1200,144 Hz,29999,8,512,144,6,5.0,3,48.25
Lenovo,LOQ 15IRX9,Intel Core I7-14700HX,NVIDIA® GeForce RTX™ 4060 8GB,16GB 2x 8GB SO-DIMM DDR5-5600,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,59699,16,1024,144,8,8.0,3,69.5
MSI,Thin 15 A B7VF,AMD Ryzen 7 7735HS,Nvidia GeForce RTX 4060 8GB,16GB DDR5 8GB*2,512GB NVMe PCIe SSD,1920 x 1080,144 Hz,45599,16,512,144,8,8.0,3,67.0
MSI,Katana A15 AI B8VE,AMD Ryzen 9 8945HS,Nvidia GeForce RTX 4050 6GB,16GB DDR5 8GB*2,512GB NVMe PCIe SSD,1920 x 1080,144 Hz,52249,16,512,144,10,7.0,3,70.5
MSI,Katana A15 AI B8VF,AMD Ryzen 9 8945HS,Nvidia GeForce RTX 4060 8GB,16GB DDR5 8GB*2,512GB NVMe PCIe SSD,1920 x 1080,144 Hz,56899,16,512,144,10,8.0,3,74.0
MSI,Thin 15 B13UC,Intel Core i7-13620H,Nvidia GeForce RTX 3050,16GB,512GB SSD slot (NVMe PCIe Gen4),1920x1080,144 Hz,34849,16,512,144,8,6.0,3,60.0
HP,Victus 16-r1032nia,Intel Core i5-14450HX,NVIDIA® GeForce RTX™ 3050,16 GB DDR5-5600 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,39499,16,1024,144,6,6.0,3,55.5
HP,Victus 15-FA1018NIA,Intel Core i5-13500H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,39099,16,512,144,6,7.0,3,56.5
ASUS,TUF Gaming A14 FA401WV-RG053W,AMD Ryzen AI 9 HX 370,NVIDIA® GeForce RTX™ 4060,"16GB 8GB*2 LPDDR5X 7500 on board, Max Capacity:16GB",1TB PCIe® 4.0 NVMe™ M.2 SSD,2560 x 1600,165 HZ,64777,16,1024,165,5,8.0,4,60.44
HP,Victus 15-FA1017NIA,Intel Core i5-13500H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,38888,16,512,144,6,7.0,3,56.5
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,Nvidia GeForce RTX 2050 4GB,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,29749,16,512,144,6,5.0,3,49.5
HP,OMEN 16T-WF000​,Intel Core i7-14700HX,Nvidia GeForce RTX 4070 8GB​,16 GB RAM,1TB SSD,1920 X 1080,165 HZ,91499,16,1024,165,8,8.5,3,71.69
HP,Victus 15-FA1082WM,Intel Core i5-13420H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,,38888,16,512,60,6,7.0,3,54.75
HP,Victus 15-FA1039NE,Intel Core i7-13700H,NVIDIA® GeForce RTX™ 3050 6GB,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,40999,8,512,144,8,6.0,3,58.75
HP,Victus 16-r1048ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4060,16GB DDR5 5600MB/s,1TB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 x 1080,144 Hz,59999,16,1024,144,8,8.0,3,69.5
Lenovo,LOQ 15IRX9,Intel® Core™ i7-13650HX,NVIDIA® GeForce RTX™ 4050,2x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920x1080,144 Hz,46499,12,512,144,8,7.0,3,62.88
HP,Victus 16-r1055ne,Intel® Core™ i7-14700HX,NVIDIA® GeForce RTX™ 4060,16 GB DDR5-5600 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,61799,16,512,144,8,8.0,3,67.0
Dell,G15 5530,Intel Core I7-13650HX,Nvidia GeForce RTX 4060,"16GB,2X8,5600,DDR5,",1TB SSD,1920 x 1080,120 Hz,59999,16,1024,120,8,8.0,3,69.0
Lenovo,LOQ 15IRX9,Intel Core i7-14700HX,NVIDIA® GeForce RTX™ 4060 8GB,16GB 2x 8GB SO-DIMM DDR5-5600,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,55999,16,512,144,8,8.0,3,67.0
MSI,Thin 15 B12UDX-2224US,Intel® Core™ i5-12450H,NVIDIA® GeForce RTX™ 3050 6G,8GB (8G*1) DDR4 3200MHz,512GB NVMe SSD,1920x1080,144 Hz,32499,8,512,144,6,6.0,3,51.75
HP,Victus 16-r0085cl,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 4070,16 GB,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 x 1080,,88888,16,1024,60,8,8.5,3,69.5
HP,Victus 15-FB2082WM,AMD Ryzen™ 5 8645HS,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,,40999,16,512,60,5,7.0,3,51.25
Lenovo,LOQ 15IRX9,Intel Core i7-13650HX,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,1920 x 1080,144 Hz,43999,16,512,144,8,6.0,3,60.0
HP,Victus 15-FA1035NE,Intel Core I5-13500H,Nvida GeForce RTX 4050 6GB,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,40099,16,512,144,6,7.0,3,56.5
HP,Victus 15-FA1036NE,Intel® Core™ i5-13500H,NVIDIA® GeForce RTX™ 4050,16 GB DDR4-3200 MT/s (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,38666,16,512,144,6,7.0,3,56.5
HP,Envy 16-H1053DX,Intel Core i7-13700H,Nvidia GeForce RTX 4060 8GB,16GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® NVMe™ M.2 SSD,2560 x 1600,120 Hz,71000,16,1024,120,8,8.0,4,70.0
HP,Victus 15-FA1038NE,Intel Core i7-13700H,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,144 Hz,40999,8,512,144,8,6.0,3,58.75
HP,Victus 15-FB2082WM,AMD Ryzen™ 5 8645HS,NVIDIA® GeForce RTX™ 4050 6GB,8 GB DDR5-5600 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,1920 x 1080,,37777,8,512,60,5,7.0,3,50.0
MSI,Cyborg 15 A13VF,Intel Core i7-13620H,NVIDIA® GeForce RTX™ 4060 8GB,16GB DDR5-5200 2 Slots,512GB M.2 NVMe PCIe Gen4 SSD,1920 x 1080,144 Hz,47499,16,512,144,8,8.0,3,67.0
HP,OMEN 16-wd0073dx,Intel® Core™ i7-13620H,NVIDIA® GeForce RTX™ 4060,16 GB DDR5-5200 MHz RAM,1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 x 1080,165 HZ,57777,16,1024,165,8,8.0,3,69.94
Dell,G15 5530,Intel Core I7-13650HX,Nvidia GeForce RTX 4050 6GB,"16GB, 2x8GB, DDR5, 4800MHz","512GB, M.2, PCIe NVMe, SSD",1920 x 1080,165 HZ,56666,16,512,165,8,7.0,3,63.94
Lenovo,Legion Slim 5 16IRH8,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 4060 8GB,16GB 2x8GB SO-DIMM DDR5-5200,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,2560x1600,165 HZ,65199,16,1024,165,8,8.0,4,70.94
ASUS,ROG Zephyrus G16 GU603W-G16-I74060,Intel Core I7-13620H,Nvidia GeForce RTX 4060 8GB,16GB DDR4 3200MHz,512GB NVMe PCIe 4.0 SSD,1920 x 1200,165 HZ,99999,16,512,165,8,8.0,3,67.44
HP,Victus 16-R0046NE,Intel Core I7-13700H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR5-5200 MHz RAM (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 X 1080,144 Hz,48888,16,1024,144,8,7.0,3,66.0
HP,Victus 16-R0045NE,Intel Core I7-13700H,NVIDIA® GeForce RTX™ 4050 6GB,16 GB DDR5-5200 MHz RAM (2 x 8 GB),1TB PCIe® Gen4 NVMe™ TLC M.2 SSD,1920 x 1080,144 Hz,48888,16,1024,144,8,7.0,3,66.0
